guest_id,guest_name,email,city
G-001,dwi Putri,dwiputri@email.com,Bandung
G-002,khansa santoso,khansasantoso@email.com,Medan
G-003,dwi Putri,dwiputri@email.com,Medan
G-004,khansa lestari,khansalestari@email.com,Jakarta
G-005,Budi santoso,budisantoso@email.com,Jakarta
G-006,siti wijaya,sitiwijaya@email.com,Bandung
G-007,khansa Putri,,Bandung
G-008,Budi santoso,budisantoso@email.com,Denpasar
G-009,dwi ardani,dwiardani@email.com,Jakarta
G-010,khansa wijaya,khansawijaya@email.com,Surabaya
G-011,hendra ardani,hendraardani@email.com,Surabaya
G-012,khansa Pratama,khansapratama@email.com,Bandung
G-013,hendra Putri,hendraputri@email.com,Medan
G-014,siti wijaya,sitiwijaya@email.com,Surabaya
G-015,Budi Pratama,,Denpasar
G-016,hendra lestari,hendralestari@email.com,Surabaya
G-017,hendra santoso,hendrasantoso@email.com,Denpasar
G-018,Rina santoso,,Surabaya
G-019,khansa lestari,khansalestari@email.com,Surabaya
G-020,dwi ardani,dwiardani@email.com,Surabaya
G-021,agus santoso,agussantoso@email.com,Denpasar
G-022,dwi Pratama,dwipratama@email.com,Surabaya
G-023,hendra ardani,hendraardani@email.com,Jakarta
G-024,ben wijaya,benwijaya@email.com,Bandung
G-025,dwi wijaya,dwiwijaya@email.com,Medan
G-026,dwi Putri,dwiputri@email.com,Bandung
G-027,hendra santoso,hendrasantoso@email.com,Bandung
G-028,ben Pratama,benpratama@email.com,Surabaya
G-029,hendra ardani,,Surabaya
G-030,Rina Putri,rinaputri@email.com,Surabaya
G-031,Budi lestari,budilestari@email.com,Surabaya
G-032,hendra santoso,hendrasantoso@email.com,Bandung
G-033,agus santoso,,Jakarta
G-034,Rina lestari,rinalestari@email.com,Jakarta
G-035,Budi Pratama,budipratama@email.com,Denpasar
G-036,khansa Pratama,khansapratama@email.com,Denpasar
G-037,Rina wijaya,rinawijaya@email.com,Surabaya
G-038,siti santoso,,Denpasar
G-039,ben Pratama,benpratama@email.com,Denpasar
G-040,agus santoso,,Bandung
G-041,agus Pratama,aguspratama@email.com,Denpasar
G-042,khansa wijaya,khansawijaya@email.com,Surabaya
G-043,hendra santoso,,Medan
G-044,agus santoso,agussantoso@email.com,Medan
G-045,hendra lestari,hendralestari@email.com,Bandung
G-046,dwi ardani,dwiardani@email.com,Bandung
G-047,hendra wijaya,hendrawijaya@email.com,Denpasar
G-048,ben wijaya,benwijaya@email.com,Denpasar
G-049,hendra ardani,hendraardani@email.com,Bandung
G-050,Budi lestari,,Bandung
G-051,khansa ardani,khansaardani@email.com,Denpasar
G-052,Budi wijaya,,Denpasar
G-053,agus lestari,aguslestari@email.com,Denpasar
G-054,hendra ardani,hendraardani@email.com,Surabaya
G-055,ben Putri,benputri@email.com,Denpasar
G-056,hendra santoso,hendrasantoso@email.com,Jakarta
G-057,hendra Pratama,hendrapratama@email.com,Medan
G-058,siti wijaya,,Surabaya
G-059,dwi Putri,dwiputri@email.com,Bandung
G-060,Budi ardani,,Bandung
G-061,khansa santoso,khansasantoso@email.com,Surabaya
G-062,siti lestari,sitilestari@email.com,Denpasar
G-063,siti lestari,sitilestari@email.com,Jakarta
G-064,siti ardani,sitiardani@email.com,Medan
G-065,dwi lestari,,Medan
G-066,Budi Pratama,budipratama@email.com,Surabaya
G-067,khansa Putri,khansaputri@email.com,Jakarta
G-068,Budi wijaya,,Medan
G-069,Rina santoso,rinasantoso@email.com,Surabaya
G-070,agus santoso,agussantoso@email.com,Surabaya
G-071,ben Pratama,,Surabaya
G-072,hendra ardani,hendraardani@email.com,Denpasar
G-073,Budi Pratama,,Bandung
G-074,hendra lestari,hendralestari@email.com,Denpasar
G-075,Rina wijaya,rinawijaya@email.com,Medan
G-076,agus Pratama,aguspratama@email.com,Medan
G-077,hendra santoso,hendrasantoso@email.com,Medan
G-078,agus ardani,agusardani@email.com,Denpasar
G-079,agus ardani,agusardani@email.com,Medan
G-080,hendra santoso,hendrasantoso@email.com,Surabaya
G-081,hendra santoso,hendrasantoso@email.com,Denpasar
G-082,dwi ardani,dwiardani@email.com,Jakarta
G-083,ben ardani,benardani@email.com,Denpasar
G-084,Budi ardani,budiardani@email.com,Medan
G-085,Budi Pratama,budipratama@email.com,Medan
G-086,agus lestari,aguslestari@email.com,Surabaya
G-087,dwi ardani,dwiardani@email.com,Medan
G-088,Rina Putri,rinaputri@email.com,Medan
G-089,siti santoso,,Denpasar
G-090,dwi ardani,dwiardani@email.com,Jakarta
G-091,Budi Putri,budiputri@email.com,Surabaya
G-092,Rina ardani,rinaardani@email.com,Denpasar
G-093,Budi lestari,budilestari@email.com,Medan
G-094,siti santoso,sitisantoso@email.com,Surabaya
G-095,ben ardani,benardani@email.com,Surabaya
G-096,ben lestari,,Medan
G-097,hendra ardani,hendraardani@email.com,Surabaya
G-098,agus wijaya,aguswijaya@email.com,Denpasar
G-099,hendra Pratama,hendrapratama@email.com,Jakarta
G-100,Rina Putri,rinaputri@email.com,Denpasar
